date,access_method,referrer_type,pageviews
2016-02-03,mobile app,none,205204
2016-02-03,mobile web,external,1711708
2016-02-03,mobile web,external (search engine),2889442
2016-02-03,mobile web,internal,2435262
2016-02-03,mobile web,none,1847828
2016-02-04,desktop,external,141033
2016-02-04,desktop,external (search engine),4284835
2016-02-04,desktop,internal,3733395
2016-02-04,desktop,none,711629
2016-02-04,mobile app,none,313080
2016-02-04,mobile web,external,50395
2016-02-04,mobile web,external (search engine),4296127
2016-02-04,mobile web,internal,2330046
2016-02-04,mobile web,none,3147644
2016-02-05,desktop,external,129190
2016-02-05,desktop,external (search engine),3921053
2016-02-05,desktop,internal,3434732
2016-02-05,desktop,none,647240
2016-02-05,mobile app,none,301750
2016-02-05,mobile web,external,47767
2016-02-05,mobile web,external (search engine),4017979
2016-02-05,mobile web,internal,2220140
2016-02-05,mobile web,none,3025915
2016-02-06,desktop,external,110164
2016-02-06,desktop,external (search engine),3071156
2016-02-06,desktop,internal,2911436
2016-02-06,desktop,none,604594
2016-02-06,mobile app,none,355363
2016-02-06,mobile web,external,49879
2016-02-06,mobile web,external (search engine),4434531
2016-02-06,mobile web,internal,2560453
2016-02-06,mobile web,none,3205575
2016-02-07,desktop,external,125251
2016-02-07,desktop,external (search engine),3473406
2016-02-07,desktop,internal,3237010
2016-02-07,desktop,none,610724
2016-02-07,mobile app,none,423783
2016-02-07,mobile web,external,56899
2016-02-07,mobile web,external (search engine),5334843
2016-02-07,mobile web,internal,3152456
2016-02-07,mobile web,none,3554347
2016-02-08,desktop,external,152420
2016-02-08,desktop,external (search engine),4727827
2016-02-08,desktop,internal,4079510
2016-02-08,desktop,none,752126
2016-02-08,mobile app,none,358844
2016-02-08,mobile web,external,50993
2016-02-08,mobile web,external (search engine),4686465
2016-02-08,mobile web,internal,2724694
2016-02-08,mobile web,none,3321125
2016-02-09,desktop,external,144847
2016-02-09,desktop,external (search engine),4579618
2016-02-09,desktop,internal,3863469
2016-02-09,desktop,none,749506
2016-02-09,mobile app,none,369312
2016-02-09,mobile web,external,52579
2016-02-09,mobile web,external (search engine),4935086
2016-02-09,mobile web,internal,2783432
2016-02-09,mobile web,none,3428136
2016-02-10,desktop,external,148657
2016-02-10,desktop,external (search engine),4628716
2016-02-10,desktop,internal,3638889
2016-02-10,desktop,none,947831
2016-02-10,mobile app,none,382033
2016-02-10,mobile web,external,54249
2016-02-10,mobile web,external (search engine),5538372
2016-02-10,mobile web,internal,2703495
2016-02-10,mobile web,none,3652127
2016-02-11,desktop,external,147784
2016-02-11,desktop,external (search engine),4614622
2016-02-11,desktop,internal,3430742
2016-02-11,desktop,none,697792
2016-02-11,mobile app,none,365530
2016-02-11,mobile web,external,56085
2016-02-11,mobile web,external (search engine),5059620
2016-02-11,mobile web,internal,2646871
2016-02-11,mobile web,none,3481992
2016-02-12,desktop,external,141051
2016-02-12,desktop,external (search engine),4167503
2016-02-12,desktop,internal,3387713
2016-02-12,desktop,none,737115
2016-02-12,mobile app,none,341370
2016-02-12,mobile web,external,60548
2016-02-12,mobile web,external (search engine),4586333
2016-02-12,mobile web,internal,2445322
2016-02-12,mobile web,none,3288746
2016-02-13,desktop,external,116845
2016-02-13,desktop,external (search engine),3160226
2016-02-13,desktop,internal,2795289
2016-02-13,desktop,none,684602
2016-02-13,mobile app,none,375975
2016-02-13,mobile web,external,64987
2016-02-13,mobile web,external (search engine),4898311
2016-02-13,mobile web,internal,2616110
2016-02-13,mobile web,none,3442917
2016-02-14,desktop,external,130033
2016-02-14,desktop,external (search engine),3735513
2016-02-14,desktop,internal,3290881
2016-02-14,desktop,none,700919
2016-02-14,mobile app,none,438795
2016-02-14,mobile web,external,71495
2016-02-14,mobile web,external (search engine),5763442
2016-02-14,mobile web,internal,3219062
2016-02-14,mobile web,none,3753241
2016-02-15,desktop,external,153270
2016-02-15,desktop,external (search engine),4663305
2016-02-15,desktop,internal,3688960
2016-02-15,desktop,none,701231
2016-02-15,mobile app,none,340712
2016-02-15,mobile web,external,62834
2016-02-15,mobile web,external (search engine),4624196
2016-02-15,mobile web,internal,2615898
2016-02-15,mobile web,none,3299896
2016-02-16,desktop,external,146858
2016-02-16,desktop,external (search engine),4623607
2016-02-16,desktop,internal,3585628
2016-02-16,desktop,none,739855
2016-02-16,mobile app,none,328626
2016-02-16,mobile web,external,57548
2016-02-16,mobile web,external (search engine),4466994
2016-02-16,mobile web,internal,2412080
2016-02-16,mobile web,none,3251675
2016-02-17,desktop,external,143077
2016-02-17,desktop,external (search engine),4599917
2016-02-17,desktop,internal,3558241
2016-02-17,desktop,none,702840
2016-02-17,mobile app,none,319434
2016-02-17,mobile web,external,62015
2016-02-17,mobile web,external (search engine),4436506
2016-02-17,mobile web,internal,2372906
2016-02-17,mobile web,none,3230329
2016-02-18,desktop,external,137845
2016-02-18,desktop,external (search engine),4306301
2016-02-18,desktop,internal,3471136
2016-02-18,desktop,none,719873
2016-02-18,mobile app,none,310171
2016-02-18,mobile web,external,57417
2016-02-18,mobile web,external (search engine),4295410
2016-02-18,mobile web,internal,2315534
2016-02-18,mobile web,none,3189274
2016-02-19,desktop,external,130020
2016-02-19,desktop,external (search engine),3877776
2016-02-19,desktop,internal,3270178
2016-02-19,desktop,none,1672389
2016-02-19,mobile app,none,291295
2016-02-19,mobile web,external,55093
2016-02-19,mobile web,external (search engine),3976320
2016-02-19,mobile web,internal,2159049
2016-02-19,mobile web,none,3089765
2016-02-20,desktop,external,111855
2016-02-20,desktop,external (search engine),3185589
2016-02-20,desktop,internal,2876454
2016-02-20,desktop,none,1113947
2016-02-20,mobile app,none,354612
2016-02-20,mobile web,external,64995
2016-02-20,mobile web,external (search engine),4646551
2016-02-20,mobile web,internal,2557649
2016-02-20,mobile web,none,3337054
2016-02-21,desktop,external,120119
2016-02-21,desktop,external (search engine),3442391
2016-02-21,desktop,internal,3140241
2016-02-21,desktop,none,658809
2016-02-21,mobile app,none,398225
2016-02-21,mobile web,external,70098
2016-02-21,mobile web,external (search engine),5260588
2016-02-21,mobile web,internal,2997163
2016-02-21,mobile web,none,3564750
2016-02-22,desktop,external,148314
2016-02-22,desktop,external (search engine),4526556
2016-02-22,desktop,internal,3405221
2016-02-22,desktop,none,827934
2016-02-22,mobile app,none,318163
2016-02-22,mobile web,external,58613
2016-02-22,mobile web,external (search engine),4398312
2016-02-22,mobile web,internal,2276329
2016-02-22,mobile web,none,3372843
2016-02-23,desktop,external,141553
2016-02-23,desktop,external (search engine),4380184
2016-02-23,desktop,internal,3067318
2016-02-23,desktop,none,997412
2016-02-23,mobile app,none,304138
2016-02-23,mobile web,external,58716
2016-02-23,mobile web,external (search engine),4329361
2016-02-23,mobile web,internal,1591020
2016-02-23,mobile web,none,3875503
2016-02-24,desktop,external,137033
2016-02-24,desktop,external (search engine),4277486
2016-02-24,desktop,internal,3090818
2016-02-24,desktop,none,913936
2016-02-24,mobile app,none,309745
2016-02-24,mobile web,external,61166
2016-02-24,mobile web,external (search engine),4341596
2016-02-24,mobile web,internal,1374286
2016-02-24,mobile web,none,4111991
2016-02-25,desktop,external,140430
2016-02-25,desktop,external (search engine),4184445
2016-02-25,desktop,internal,3065301
2016-02-25,desktop,none,1029910
2016-02-25,mobile app,none,302566
2016-02-25,mobile web,external,59876
2016-02-25,mobile web,external (search engine),4281356
2016-02-25,mobile web,internal,1341151
2016-02-25,mobile web,none,4112441
2016-02-26,desktop,external,130483
2016-02-26,desktop,external (search engine),3860579
2016-02-26,desktop,internal,2971878
2016-02-26,desktop,none,1056181
2016-02-26,mobile app,none,296490
2016-02-26,mobile web,external,60638
2016-02-26,mobile web,external (search engine),4001600
2016-02-26,mobile web,internal,1285077
2016-02-26,mobile web,none,3978406
2016-02-27,desktop,external,115345
2016-02-27,desktop,external (search engine),3179552
2016-02-27,desktop,internal,2753598
2016-02-27,desktop,none,871909
2016-02-27,mobile app,none,353716
2016-02-27,mobile web,external,62288
2016-02-27,mobile web,external (search engine),4576416
2016-02-27,mobile web,internal,1496182
2016-02-27,mobile web,none,4413172
2016-02-28,desktop,external,131472
2016-02-28,desktop,external (search engine),3681321
2016-02-28,desktop,internal,3067604
2016-02-28,desktop,none,963982
2016-02-28,mobile app,none,431924
2016-02-28,mobile web,external,74225
2016-02-28,mobile web,external (search engine),5660262
2016-02-28,mobile web,internal,1889580
2016-02-28,mobile web,none,5216531
2016-02-29,desktop,external,153116
2016-02-29,desktop,external (search engine),4902116
2016-02-29,desktop,internal,3812337
2016-02-29,desktop,none,1044164
2016-02-29,mobile app,none,394448
2016-02-29,mobile web,external,65759
2016-02-29,mobile web,external (search engine),5365538
2016-02-29,mobile web,internal,1796473
2016-02-29,mobile web,none,5057614
2016-03-01,desktop,external,134683
2016-03-01,desktop,external (search engine),4364920
2016-03-01,desktop,internal,3239876
2016-03-01,desktop,none,957464
2016-03-01,mobile app,none,318438
2016-03-01,mobile web,external,61727
2016-03-01,mobile web,external (search engine),4520549
2016-03-01,mobile web,internal,1432323
2016-03-01,mobile web,none,4384220
2016-03-02,desktop,external,134520
2016-03-02,desktop,external (search engine),4191348
2016-03-02,desktop,internal,3133888
2016-03-02,desktop,none,971458
2016-03-02,mobile app,none,294649
2016-03-02,mobile web,external,58277
2016-03-02,mobile web,external (search engine),4256378
2016-03-02,mobile web,internal,1321698
2016-03-02,mobile web,none,4182059
2016-03-03,desktop,external,135450
2016-03-03,desktop,external (search engine),4275017
2016-03-03,desktop,internal,3191316
2016-03-03,desktop,none,1237293
2016-03-03,mobile app,none,299893
2016-03-03,mobile web,external,55180
2016-03-03,mobile web,external (search engine),4203814
2016-03-03,mobile web,internal,1346283
2016-03-03,mobile web,none,4307970
2016-03-04,desktop,external,124748
2016-03-04,desktop,external (search engine),3768520
2016-03-04,desktop,internal,2887933
2016-03-04,desktop,none,1265207
2016-03-04,mobile app,none,282038
2016-03-04,mobile web,external,52866
2016-03-04,mobile web,external (search engine),3875811
2016-03-04,mobile web,internal,1235645
2016-03-04,mobile web,none,4069818
2016-03-05,desktop,external,117122
2016-03-05,desktop,external (search engine),3201529
2016-03-05,desktop,internal,2723708
2016-03-05,desktop,none,986375
2016-03-05,mobile app,none,349937
2016-03-05,mobile web,external,83010
2016-03-05,mobile web,external (search engine),4503647
2016-03-05,mobile web,internal,1493165
2016-03-05,mobile web,none,4406839
2016-03-06,desktop,external,120827
2016-03-06,desktop,external (search engine),3494576
2016-03-06,desktop,internal,2966330
2016-03-06,desktop,none,1526445
2016-03-06,mobile app,none,404299
2016-03-06,mobile web,external,71321
2016-03-06,mobile web,external (search engine),5266341
2016-03-06,mobile web,internal,1788486
2016-03-06,mobile web,none,5251817
2016-03-07,desktop,external,143488
2016-03-07,desktop,external (search engine),4383718
2016-03-07,desktop,internal,3288679
2016-03-07,desktop,none,1919286
2016-03-07,mobile app,none,316511
2016-03-07,mobile web,external,65515
2016-03-07,mobile web,external (search engine),4279113
2016-03-07,mobile web,internal,1429343
2016-03-07,mobile web,none,4736546
2016-03-08,desktop,external,144558
2016-03-08,desktop,external (search engine),4279049
2016-03-08,desktop,internal,3124372
2016-03-08,desktop,none,964452
2016-03-08,mobile app,none,302081
2016-03-08,mobile web,external,85723
2016-03-08,mobile web,external (search engine),4182532
2016-03-08,mobile web,internal,1305653
2016-03-08,mobile web,none,4143970
2016-03-09,desktop,external,138834
2016-03-09,desktop,external (search engine),4381542
2016-03-09,desktop,internal,3166630
2016-03-09,desktop,none,1137159
2016-03-09,mobile app,none,303192
2016-03-09,mobile web,external,59898
2016-03-09,mobile web,external (search engine),4274051
2016-03-09,mobile web,internal,1337402
2016-03-09,mobile web,none,4182470
2016-03-10,desktop,external,130125
2016-03-10,desktop,external (search engine),4022220
2016-03-10,desktop,internal,3018369
2016-03-10,desktop,none,910793
2016-03-10,mobile app,none,294479
2016-03-10,mobile web,external,52078
2016-03-10,mobile web,external (search engine),4052802
2016-03-10,mobile web,internal,1296794
2016-03-10,mobile web,none,4046432
2016-03-11,desktop,external,125551
2016-03-11,desktop,external (search engine),3796786
2016-03-11,desktop,internal,2927990
2016-03-11,desktop,none,882256
2016-03-11,mobile app,none,339531
2016-03-11,mobile web,external,51025
2016-03-11,mobile web,external (search engine),3849803
2016-03-11,mobile web,internal,1291284
2016-03-11,mobile web,none,4027630
2016-03-12,desktop,external,104134
2016-03-12,desktop,external (search engine),3044449
2016-03-12,desktop,internal,2633345
2016-03-12,desktop,none,831882
2016-03-12,mobile app,none,494163
2016-03-12,mobile web,external,54190
2016-03-12,mobile web,external (search engine),3603982
2016-03-12,mobile web,internal,1314034
2016-03-12,mobile web,none,4207724
2016-03-13,desktop,external,116811
2016-03-13,desktop,external (search engine),3458854
2016-03-13,desktop,internal,2825712
2016-03-13,desktop,none,900898
2016-03-13,mobile app,none,472249
2016-03-13,mobile web,external,64651
2016-03-13,mobile web,external (search engine),4770155
2016-03-13,mobile web,internal,1690334
2016-03-13,mobile web,none,4938616
2016-03-14,desktop,external,142896
2016-03-14,desktop,external (search engine),4365244
2016-03-14,desktop,internal,3264481
2016-03-14,desktop,none,985627
2016-03-14,mobile app,none,360855
2016-03-14,mobile web,external,55237
2016-03-14,mobile web,external (search engine),4095638
2016-03-14,mobile web,internal,1362849
2016-03-14,mobile web,none,4339109
2016-03-15,desktop,external,133866
2016-03-15,desktop,external (search engine),4239099
2016-03-15,desktop,internal,3348399
2016-03-15,desktop,none,969258
2016-03-15,mobile app,none,343415
2016-03-15,mobile web,external,50797
2016-03-15,mobile web,external (search engine),3922333
2016-03-15,mobile web,internal,1329237
2016-03-15,mobile web,none,4254157
2016-03-16,desktop,external,131848
2016-03-16,desktop,external (search engine),4157496
2016-03-16,desktop,internal,3512911
2016-03-16,desktop,none,1094483
2016-03-16,mobile app,none,328807
2016-03-16,mobile web,external,50164
2016-03-16,mobile web,external (search engine),4050416
2016-03-16,mobile web,internal,1295373
2016-03-16,mobile web,none,4058024
2016-03-17,desktop,external,132513
2016-03-17,desktop,external (search engine),4006449
2016-03-17,desktop,internal,3264131
2016-03-17,desktop,none,930811
2016-03-17,mobile app,none,312462
2016-03-17,mobile web,external,46869
2016-03-17,mobile web,external (search engine),3829002
2016-03-17,mobile web,internal,1227350
2016-03-17,mobile web,none,3919706
2016-03-18,desktop,external,129526
2016-03-18,desktop,external (search engine),3582879
2016-03-18,desktop,internal,3520371
2016-03-18,desktop,none,815276
2016-03-18,mobile app,none,301886
2016-03-18,mobile web,external,42686
2016-03-18,mobile web,external (search engine),3562036
2016-03-18,mobile web,internal,1191723
2016-03-18,mobile web,none,3763003
2016-03-19,desktop,external,96448
2016-03-19,desktop,external (search engine),2622489
2016-03-19,desktop,internal,3213889
2016-03-19,desktop,none,739316
2016-03-19,mobile app,none,331504
2016-03-19,mobile web,external,36666
2016-03-19,mobile web,external (search engine),3771169
2016-03-19,mobile web,internal,1283159
2016-03-19,mobile web,none,3882916
2016-03-20,desktop,external,108010
2016-03-20,desktop,external (search engine),3026170
2016-03-20,desktop,internal,3553919
2016-03-20,desktop,none,900449
2016-03-20,mobile app,none,392445
2016-03-20,mobile web,external,44024
2016-03-20,mobile web,external (search engine),4497674
2016-03-20,mobile web,internal,1557659
2016-03-20,mobile web,none,4445820
2016-03-21,desktop,external,135192
2016-03-21,desktop,external (search engine),4230517
2016-03-21,desktop,internal,4003134
2016-03-21,desktop,none,881610
2016-03-21,mobile app,none,323495
2016-03-21,mobile web,external,39342
2016-03-21,mobile web,external (search engine),3928511
2016-03-21,mobile web,internal,1303371
2016-03-21,mobile web,none,3990353
2016-03-22,desktop,external,123035
2016-03-22,desktop,external (search engine),4523784
2016-03-22,desktop,internal,3941635
2016-03-22,desktop,none,816555
2016-03-22,mobile app,none,315175
2016-03-22,mobile web,external,38566
2016-03-22,mobile web,external (search engine),3770347
2016-03-22,mobile web,internal,1284326
2016-03-22,mobile web,none,3910642
2016-03-23,desktop,external,124515
2016-03-23,desktop,external (search engine),3650597
2016-03-23,desktop,internal,3913777
2016-03-23,desktop,none,996763
2016-03-23,mobile app,none,323352
2016-03-23,mobile web,external,37478
2016-03-23,mobile web,external (search engine),3623199
2016-03-23,mobile web,internal,1299153
2016-03-23,mobile web,none,3849847
2016-03-24,desktop,external,117144
2016-03-24,desktop,external (search engine),3641805
2016-03-24,desktop,internal,3990153
2016-03-24,desktop,none,828346
2016-03-24,mobile app,none,340594
2016-03-24,mobile web,external,35719
2016-03-24,mobile web,external (search engine),3739464
2016-03-24,mobile web,internal,1361103
2016-03-24,mobile web,none,3960909
2016-03-25,desktop,external,116926
2016-03-25,desktop,external (search engine),3292345
2016-03-25,desktop,internal,3741205
2016-03-25,desktop,none,816218
2016-03-25,mobile app,none,328630
2016-03-25,mobile web,external,37598
2016-03-25,mobile web,external (search engine),3669072
2016-03-25,mobile web,internal,1338935
2016-03-25,mobile web,none,3906025
2016-03-26,desktop,external,98468
2016-03-26,desktop,external (search engine),2502629
2016-03-26,desktop,internal,3443216
2016-03-26,desktop,none,749236
2016-03-26,mobile app,none,358371
2016-03-26,mobile web,external,36644
2016-03-26,mobile web,external (search engine),3872113
2016-03-26,mobile web,internal,1427454
2016-03-26,mobile web,none,4007230
2016-03-27,desktop,external,84267
2016-03-27,desktop,external (search engine),2170862
2016-03-27,desktop,internal,3116987
2016-03-27,desktop,none,732311
2016-03-27,mobile app,none,434177
2016-03-27,mobile web,external,42268
2016-03-27,mobile web,external (search engine),4599757
2016-03-27,mobile web,internal,1706516
2016-03-27,mobile web,none,4477396
2016-03-28,desktop,external,103312
2016-03-28,desktop,external (search engine),2792017
2016-03-28,desktop,internal,3377929
2016-03-28,desktop,none,907872
2016-03-28,mobile app,none,427034
2016-03-28,mobile web,external,44540
2016-03-28,mobile web,external (search engine),4609462
2016-03-28,mobile web,internal,1787247
2016-03-28,mobile web,none,4571536
2016-03-29,desktop,external,139000
2016-03-29,desktop,external (search engine),4333716
2016-03-29,desktop,internal,4586741
2016-03-29,desktop,none,974131
2016-03-29,mobile app,none,362251
2016-03-29,mobile web,external,49049
2016-03-29,mobile web,external (search engine),4229707
2016-03-29,mobile web,internal,1605550
2016-03-29,mobile web,none,4341611
2016-03-30,desktop,external,137665
2016-03-30,desktop,external (search engine),4289447
2016-03-30,desktop,internal,4430077
2016-03-30,desktop,none,950610
2016-03-30,mobile app,none,326660
2016-03-30,mobile web,external,65177
2016-03-30,mobile web,external (search engine),4056396
2016-03-30,mobile web,internal,1454451
2016-03-30,mobile web,none,4104718
2016-03-31,desktop,external,126273
2016-03-31,desktop,external (search engine),4062626
2016-03-31,desktop,internal,4204292
2016-03-31,desktop,none,952535
2016-03-31,mobile app,none,304256
2016-03-31,mobile web,external,45024
2016-03-31,mobile web,external (search engine),3965677
2016-03-31,mobile web,internal,1365860
2016-03-31,mobile web,none,4009870
2016-04-01,desktop,external,122762
2016-04-01,desktop,external (search engine),3707957
2016-04-01,desktop,internal,3982740
2016-04-01,desktop,none,1123605
2016-04-01,mobile app,none,293248
2016-04-01,mobile web,external,37085
2016-04-01,mobile web,external (search engine),3860251
2016-04-01,mobile web,internal,1297664
2016-04-01,mobile web,none,3926998
2016-04-02,desktop,external,100772
2016-04-02,desktop,external (search engine),2858677
2016-04-02,desktop,internal,2463196
2016-04-02,desktop,none,779647
2016-04-02,mobile app,none,324469
2016-04-02,mobile web,external,39192
2016-04-02,mobile web,external (search engine),4107738
2016-04-02,mobile web,internal,1397368
2016-04-02,mobile web,none,4118280
2016-04-03,desktop,external,106040
2016-04-03,desktop,external (search engine),3127821
2016-04-03,desktop,internal,2634476
2016-04-03,desktop,none,794630
2016-04-03,mobile app,none,359886
2016-04-03,mobile web,external,43310
2016-04-03,mobile web,external (search engine),4716557
2016-04-03,mobile web,internal,1593044
2016-04-03,mobile web,none,4519138
2016-04-04,desktop,external,132486
2016-04-04,desktop,external (search engine),4178389
2016-04-04,desktop,internal,3039743
2016-04-04,desktop,none,910251
2016-04-04,mobile app,none,295894
2016-04-04,mobile web,external,35467
2016-04-04,mobile web,external (search engine),4118183
2016-04-04,mobile web,internal,1363050
2016-04-04,mobile web,none,4088819
2016-04-05,desktop,external,125577
2016-04-05,desktop,external (search engine),4090806
2016-04-05,desktop,internal,2932688
2016-04-05,desktop,none,961524
2016-04-05,mobile app,none,291507
2016-04-05,mobile web,external,35441
2016-04-05,mobile web,external (search engine),4110681
2016-04-05,mobile web,internal,1349306
2016-04-05,mobile web,none,4087345
2016-04-06,desktop,external,122464
2016-04-06,desktop,external (search engine),4104627
2016-04-06,desktop,internal,2889229
2016-04-06,desktop,none,998630
2016-04-06,mobile app,none,277155
2016-04-06,mobile web,external,34692
2016-04-06,mobile web,external (search engine),3943437
2016-04-06,mobile web,internal,1282881
2016-04-06,mobile web,none,3959409
2016-04-07,desktop,external,125540
2016-04-07,desktop,external (search engine),3981639
2016-04-07,desktop,internal,2881823
2016-04-07,desktop,none,967607
2016-04-07,mobile app,none,268053
2016-04-07,mobile web,external,35467
2016-04-07,mobile web,external (search engine),3934570
2016-04-07,mobile web,internal,1266780
2016-04-07,mobile web,none,3944586
2016-04-08,desktop,external,121341
2016-04-08,desktop,external (search engine),3849382
2016-04-08,desktop,internal,2888642
2016-04-08,desktop,none,913347
2016-04-08,mobile app,none,272150
2016-04-08,mobile web,external,35992
2016-04-08,mobile web,external (search engine),3981386
2016-04-08,mobile web,internal,1282499
2016-04-08,mobile web,none,3954232
2016-04-09,desktop,external,101323
2016-04-09,desktop,external (search engine),2904510
2016-04-09,desktop,internal,2445656
2016-04-09,desktop,none,783991
2016-04-09,mobile app,none,296122
2016-04-09,mobile web,external,39381
2016-04-09,mobile web,external (search engine),4159181
2016-04-09,mobile web,internal,1395659
2016-04-09,mobile web,none,4141762
2016-04-10,desktop,external,105046
2016-04-10,desktop,external (search engine),3066397
2016-04-10,desktop,internal,2560001
2016-04-10,desktop,none,918226
2016-04-10,mobile app,none,322886
2016-04-10,mobile web,external,40830
2016-04-10,mobile web,external (search engine),4490858
2016-04-10,mobile web,internal,1567345
2016-04-10,mobile web,none,4409390
2016-04-11,desktop,external,129135
2016-04-11,desktop,external (search engine),4093964
2016-04-11,desktop,internal,3251869
2016-04-11,desktop,none,912261
2016-04-11,mobile app,none,260654
2016-04-11,mobile web,external,36147
2016-04-11,mobile web,external (search engine),3912757
2016-04-11,mobile web,internal,1278869
2016-04-11,mobile web,none,3921954
2016-04-12,desktop,external,124358
2016-04-12,desktop,external (search engine),4036601
2016-04-12,desktop,internal,3017066
2016-04-12,desktop,none,818129
2016-04-12,mobile app,none,259873
2016-04-12,mobile web,external,37898
2016-04-12,mobile web,external (search engine),3982115
2016-04-12,mobile web,internal,1273578
2016-04-12,mobile web,none,3907465
2016-04-13,desktop,external,120925
2016-04-13,desktop,external (search engine),3951725
2016-04-13,desktop,internal,3136107
2016-04-13,desktop,none,845272
2016-04-13,mobile app,none,250768
